marca_possivel,marca_normalizada,categorias_nao_genericas,laboratorios,quantidade_apresentacoes,tambem_aparece_como_generico
TOXXEL,TOXXEL,Similar,BLAU FARMACEUTICA S.A.,12,nao
TRACOX,TRACOX,Similar,FARMOQUÍMICA S/A,1,nao
TRACRIUM,TRACRIUM,Novo,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,2,nao
TRACTOCILE,TRACTOCILE,Novo,LABORATÓRIOS FERRING LTDA,2,nao
TRACUR,TRACUR,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
TRADEP,TRADEP,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,4,nao
TRADINOL,TRADINOL,Similar,HIPOLABOR FARMACEUTICA LTDA,1,nao
TRAMADON,TRAMADON,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,11,nao
TRAMAL,TRAMAL,Novo,GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.,7,nao
TRAMAL RETARD,TRAMAL RETARD,Novo,GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.,5,nao
TRANEGER,TRANEGER,Similar,GERMED FARMACEUTICA LTDA,2,nao
TRANQUINAL,TRANQUINAL,Similar,LABORATÓRIOS BAGÓ DO BRASIL S/A,7,nao
TRANQUINAL SLG,TRANQUINAL SLG,Novo,LABORATÓRIOS BAGÓ DO BRASIL S/A,2,nao
TRANSAMIN,TRANSAMIN,Novo,ZYDUS NIKKHO FARMACÊUTICA LTDA,6,nao
TRANSLARNA,TRANSLARNA,Novo,PTC FARMACEUTICA DO BRASIL LTDA.,3,nao
TRANSPULMIN XAROPE ADULTO,TRANSPULMIN XAROPE ADULTO,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,1,nao
TRANSPULMIN XAROPE INFANTIL,TRANSPULMIN XAROPE INFANTIL,Novo,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,1,nao
TRANSTEC,TRANSTEC,Novo,GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.,3,nao
TRATURIL,TRATURIL,Similar,APSEN FARMACEUTICA S/A,2,nao
TRAUM,TRAUM,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,3,nao
TRAVAMED,TRAVAMED,Similar,GERMED FARMACEUTICA LTDA,1,nao
TRAVAMED BAK FREE,TRAVAMED BAK FREE,Similar,GERMED FARMACEUTICA LTDA,1,nao
TRAVAMED MT,TRAVAMED MT,Similar,GERMED FARMACEUTICA LTDA,2,nao
TRAVATAN,TRAVATAN,Novo,NOVARTIS BIOCIENCIAS S.A,2,nao
TRAVOPTIC,TRAVOPTIC,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,1,nao
TRAXONOL,TRAXONOL,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,3,nao
TRAYENTA,TRAYENTA,Novo,BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA LTDA.,2,nao
TRAYENTA DUO,TRAYENTA DUO,Novo,BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA LTDA.,3,nao
TRAZIMERA,TRAZIMERA,Biológico,PFIZER BRASIL LTDA,2,nao
TREBYXAN,TREBYXAN,Similar,LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA,6,nao
TRELEGY,TRELEGY,Novo,GLAXOSMITHKLINE BRASIL LTDA,2,nao
TREMFYA,TREMFYA,Biológico,JANSSEN-CILAG FARMACEUTICA LTDA,6,nao
TRESDÊ,TRESDE,Específico,ALTHAIA S.A. INDUSTRIA FARMACEUTICA,27,nao
TRESIBA,TRESIBA,Biológico,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA,7,nao
TREXACONT,TREXACONT,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,1,nao
TREZETE,TREZETE,Novo,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,8,nao
TREZOR,TREZOR,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,17,nao
TRIANCIL,TRIANCIL,Novo,APSEN FARMACEUTICA S/A,3,nao
TRIAXIN,TRIAXIN,Similar,EUROFARMA LABORATORIOS S.A.,3,nao
