marca_possivel,marca_normalizada,categorias_nao_genericas,laboratorios,quantidade_apresentacoes,tambem_aparece_como_generico
ANDROSTEN,ANDROSTEN,Fitoterápico,HERBARIUM LABORATORIO BOTANICO LTDA,4,nao
ANDRUM,ANDRUM,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,1,nao
ANEMIFER,ANEMIFER,Específico,PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A,1,nao
ANESFENT,ANESFENT,Similar,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
ANESTALCON,ANESTALCON,Similar,NOVARTIS BIOCIENCIAS S.A,1,nao
ANESTÉSICO OCULUM,ANESTESICO OCULUM,Novo,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,1,nao
ANFORICIN B,ANFORICIN B,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
ANGELIQ,ANGELIQ,Novo,BAYER S.A.,2,nao
ANGINO RUB,ANGINO RUB,Similar,EUROFARMA LABORATORIOS S.A.,6,nao
ANGIOPRIL,ANGIOPRIL,Similar,DIFFUCAP - CHEMOBRÁS QUÍMICA E FARMACÊUTICA LTDA,2,nao
ANGIPRESS,ANGIPRESS,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,4,nao
ANGIPRESS CD,ANGIPRESS CD,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,9,nao
ANLO,ANLO,Similar,EMS SIGMA PHARMA LTDA,2,nao
ANNITA,ANNITA,Novo,FARMOQUÍMICA S/A,3,nao
ANORO ELLIPTA,ANORO ELLIPTA,Novo,GLAXOSMITHKLINE BRASIL LTDA,2,nao
ANSENTRON,ANSENTRON,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,4,nao
ANSITEC,ANSITEC,Similar,LIBBS FARMACÊUTICA LTDA,7,nao
ANTARA,ANTARA,Similar,EUROFARMA LABORATORIOS S.A.,5,nao
ANTARA IV,ANTARA IV,Novo,EUROFARMA LABORATORIOS S.A.,1,nao
ANTARA XR,ANTARA XR,Similar,EUROFARMA LABORATORIOS S.A.,4,nao
ANTIMAIS SÉPTICO,ANTIMAIS SEPTICO,Similar,KLEY HERTZ FARMACEUTICA S.A,1,nao
ANTIVIRAX,ANTIVIRAX,Similar,EMS S/A,6,nao
ANTROFI,ANTROFI,Similar,EUROFARMA LABORATORIOS S.A.,1,nao
ANTUX,ANTUX,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,3,nao
ANYA,ANYA,Similar,SUN FARMACÊUTICA DO BRASIL LTDA,2,nao
APETIVAN BC,APETIVAN BC,Similar,PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A,1,nao
APETIVITON BC,APETIVITON BC,Similar,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,2,nao
APEVITIN BC,APEVITIN BC,Novo,EMS S/A,1,nao
ÁPICE,APICE,Similar,SUPERA FARMA LABORATÓRIOS S.A,3,nao
APICS,APICS,Similar,APSEN FARMACEUTICA S/A,4,nao
APIDRA,APIDRA,Biológico,SANOFI MEDLEY FARMACÊUTICA LTDA.,2,nao
APIXORD,APIXORD,Similar,ACCORD FARMACÊUTICA LTDA,10,nao
APLAUSE,APLAUSE,Fitoterápico,MARJAN INDÚSTRIA E COMÉRCIO LTDA,3,nao
APLUC,APLUC,Similar,PRATI DONADUZZI & CIA LTDA,15,nao
APRACUR,APRACUR,Novo,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,1,nao
APRACUR DUO,APRACUR DUO,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,3,nao
APRAZ,APRAZ,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,4,nao
APRESOLINA,APRESOLINA,Novo,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,4,nao
APRETUDE,APRETUDE,Novo,GLAXOSMITHKLINE BRASIL LTDA,3,nao
APROVEL,APROVEL,Novo,SANOFI MEDLEY FARMACÊUTICA LTDA.,2,nao
APROZIDE,APROZIDE,Novo,SANOFI MEDLEY FARMACÊUTICA LTDA.,2,nao
AQUARELA,AQUARELA,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,8,nao
ARADOIS,ARADOIS,Similar,BIOLAB SANUS FARMACEUTICA LTDA,7,nao
ARADOIS H,ARADOIS H,Similar,BIOLAB SANUS FARMACEUTICA LTDA,6,nao
ARAMIN,ARAMIN,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
ARANESP,ARANESP,Biológico,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.,1,nao
ARARTAN,ARARTAN,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,2,nao
ARASID,ARASID,Similar,ACCORD FARMACÊUTICA LTDA,2,nao
ARAVA,ARAVA,Novo,SANOFI MEDLEY FARMACÊUTICA LTDA.,2,nao
ARAZABI,ARAZABI,Similar,EMS S/A,1,nao
ARCALION,ARCALION,Novo,LABORATORIOS SERVIER DO BRASIL LTDA,2,nao
ARCOXIA,ARCOXIA,Novo,ORGANON FARMACEUTICA LTDA.,5,nao
ARDRO,ARDRO,Biológico,EUROFARMA LABORATORIOS S.A.,1,nao
AREMAZ,AREMAZ,Fitoterápico,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,1,nao
AREXVY,AREXVY,Biológico,GLAXOSMITHKLINE BRASIL LTDA,2,nao
ARFLEX RETARD,ARFLEX RETARD,Novo,DIFFUCAP - CHEMOBRÁS QUÍMICA E FARMACÊUTICA LTDA,2,nao
ÁRIA,ARIA,Similar,EUROFARMA LABORATORIOS S.A.,6,nao
ARICILINA,ARICILINA,Similar,BLAU FARMACEUTICA S.A.,1,nao
ARIFENICOL,ARIFENICOL,Similar,BLAU FARMACEUTICA S.A.,1,nao
ARIMIDEX,ARIMIDEX,Novo,ASTRAZENECA DO BRASIL LTDA,1,nao
ARISCORTEN,ARISCORTEN,Similar,BLAU FARMACEUTICA S.A.,6,nao
ARISTAB,ARISTAB,Novo,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,10,nao
ARISTAB ODT,ARISTAB ODT,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,5,nao
ARISTOPRAMIDA,ARISTOPRAMIDA,Similar,BLAU FARMACEUTICA S.A.,1,nao
ARIXTRA,ARIXTRA,Novo,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,2,nao
ARLIVRY,ARLIVRY,Fitoterápico,NATULAB LABORATORIO S.A,2,nao
AROMASIN,AROMASIN,Novo,PFIZER BRASIL LTDA,1,nao
AROPAX,AROPAX,Novo,GLAXOSMITHKLINE BRASIL LTDA,1,nao
AROTHAZY,AROTHAZY,Similar,BLAU FARMACEUTICA S.A.,4,nao
ARPADOL,ARPADOL,Fitoterápico,APSEN FARMACEUTICA S/A,2,nao
ARPEJO,ARPEJO,Novo | Similar,EMS S/A,14,nao
ARPIO,ARPIO,Similar,GERMED FARMACEUTICA LTDA,1,nao
ARPYNFLAN,ARPYNFLAN,Fitoterápico,NATULAB LABORATORIO S.A,1,nao
ARTAG,ARTAG,Similar,LIBBS FARMACÊUTICA LTDA,2,nao
ARTANE,ARTANE,Novo,APSEN FARMACEUTICA S/A,2,nao
ARTELAC,ARTELAC,Específico,BL INDÚSTRIA OTICA LTDA,1,nao
ARTEMIDIS 35,ARTEMIDIS 35,Similar,EMS SIGMA PHARMA LTDA,1,nao
ARTESUNATO +  MEFLOQUINA FARMANGUINHOS,ARTESUNATO MEFLOQUINA FARMANGUINHOS,Novo,FUNDACAO OSWALDO CRUZ,4,nao
ARTICAINE,ARTICAINE,Similar,DFL INDÚSTRIA E COMÉRCIO S/A,3,nao
ÁRTICO,ARTICO,Biológico,EUROFARMA LABORATORIOS S.A.,2,nao
ÁRTICO CAPS,ARTICO CAPS,Biológico,EUROFARMA LABORATORIOS S.A.,9,nao
ARTISS,ARTISS,Biológico,BAXTER HOSPITALAR LTDA,2,nao
ARTOGLICO,ARTOGLICO,Similar,EMS SIGMA PHARMA LTDA,1,nao
ARTRINID,ARTRINID,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,3,nao
ARTRINID IV,ARTRINID IV,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
ARTRITEC,ARTRITEC,Similar,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,3,nao
ARTRODAR,ARTRODAR,Novo,TRB PHARMA INDUSTRIA QUIMICA E FARMACEUTICA LTDA,3,nao
ARTROLIVE,ARTROLIVE,Biológico,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,5,nao
ARTROSIL,ARTROSIL,Novo,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,6,nao
ARULATAN,ARULATAN,Similar,BL INDÚSTRIA OTICA LTDA,1,nao
AS-MED,AS MED,Similar,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.,2,nao
ASAP,ASAP,Similar,PRATI DONADUZZI & CIA LTDA,18,nao
ASEA,ASEA,Similar,SUPERA FARMA LABORATÓRIOS S.A,2,nao
ASEA HCT,ASEA HCT,Similar,SUPERA FARMA LABORATÓRIOS S.A,6,nao
ASMOFEN,ASMOFEN,Similar,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
ASPARGIL C,ASPARGIL C,Específico,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,2,nao
ASPDIP,ASPDIP,Similar,BAYER S.A.,4,nao
ASPIRINA,ASPIRINA,Novo,BAYER S.A.,4,nao
ASPIRINA C EFERVESCENTE,ASPIRINA C EFERVESCENTE,Novo,BAYER S.A.,2,nao
ASPIRINA PREVENT,ASPIRINA PREVENT,Novo,BAYER S.A.,3,nao
ASSERT,ASSERT,Similar,EUROFARMA LABORATORIOS S.A.,7,nao
ASTRO,ASTRO,Similar,EUROFARMA LABORATORIOS S.A.,6,nao
ASTRO IV,ASTRO IV,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
ATACAND,ATACAND,Novo,ASTRAZENECA DO BRASIL LTDA | BIOPAS BRASIL PRODUTOS FARMACEUTICOS LTDA,5,nao
ATACAND COMB,ATACAND COMB,Novo,ASTRAZENECA DO BRASIL LTDA,2,nao
ATACAND HCT,ATACAND HCT,Novo,ASTRAZENECA DO BRASIL LTDA | BIOPAS BRASIL PRODUTOS FARMACEUTICOS LTDA,5,nao
ATAK CLAV,ATAK CLAV,Similar,EUROFARMA LABORATORIOS S.A.,4,nao
ATELIDONA,ATELIDONA,Similar,LABORATORIO TEUTO BRASILEIRO S/A,2,nao
ATELOP,ATELOP,Similar,EMS S/A,6,nao
ATENFE,ATENFE,Biológico,MEGALABS FARMACEUTICA S.A.,6,nao
ATENOCLOR,ATENOCLOR,Similar,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,2,nao
ATENOLAB,ATENOLAB,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,8,nao
ATENOPRESS,ATENOPRESS,Similar,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,1,nao
ATENSINA,ATENSINA,Novo,BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA LTDA. | MAWDSLEYS PHARMACEUTICALS DO BRASIL LTDA,3,nao
ATENTAH,ATENTAH,Novo,APSEN FARMACEUTICA S/A,16,nao
ATEROMA,ATEROMA,Similar,SUPERA FARMA LABORATÓRIOS S.A,6,nao
ATESTO,ATESTO,Similar,SUPERA FARMA LABORATÓRIOS S.A,2,nao
ATGAM,ATGAM,Biológico,PFIZER BRASIL LTDA,1,nao
ATIOVIL,ATIOVIL,Similar,PRATI DONADUZZI & CIA LTDA,21,nao
ATIP,ATIP,Similar,SUPERA FARMA LABORATÓRIOS S.A,8,nao
ATIP XR,ATIP XR,Similar,SUPERA FARMA LABORATÓRIOS S.A,6,nao
ATIVB,ATIVB,Específico,BIOLAB SANUS FARMACEUTICA LTDA,4,nao
ATIVOR,ATIVOR,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,4,nao
ATLANSIL,ATLANSIL,Novo,SANOFI MEDLEY FARMACÊUTICA LTDA.,2,nao
ATOBACH,ATOBACH,Similar,GERMED FARMACEUTICA LTDA,4,nao
ATORLESS,ATORLESS,Similar,GERMED FARMACEUTICA LTDA,4,nao
ATOSSION,ATOSSION,Similar,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA,2,nao
ATRACE,ATRACE,Similar,EUROFARMA LABORATORIOS S.A.,3,nao
ATRED,ATRED,Similar,LIBBS FARMACÊUTICA LTDA,2,nao
ATROFARMA,ATROFARMA,Similar,FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA,1,nao
ATROFEM,ATROFEM,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,2,nao
ATROPINA,ATROPINA,Novo,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,2,nao
ATROPION,ATROPION,Similar,BLAU FARMACEUTICA S.A.,2,nao
ATROVENT,ATROVENT,Novo,BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA LTDA.,2,nao
ATROVERAN DIP,ATROVERAN DIP,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,5,nao
ATROVEX,ATROVEX,Similar,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.,1,nao
ATTENZE,ATTENZE,Similar,EUROFARMA LABORATORIOS S.A.,1,nao
ATURGYL,ATURGYL,Novo,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A. | SANOFI MEDLEY FARMACÊUTICA LTDA.,2,nao
AUBAGIO,AUBAGIO,Novo,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
AURA,AURA,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,3,nao
AURIS-SEDINA,AURIS SEDINA,Novo,LABORATÓRIOS OSÓRIO DE MORAES LTDA,1,nao
AUROM,AUROM,Similar,PRATI DONADUZZI & CIA LTDA,6,nao
AUSTEDO,AUSTEDO,Novo,TEVA FARMACÊUTICA LTDA.,3,nao
AVAL,AVAL,Similar,SUPERA FARMA LABORATÓRIOS S.A,3,nao
AVALOX,AVALOX,Novo,BAYER S.A.,2,nao
AVAMYS,AVAMYS,Novo,GLAXOSMITHKLINE BRASIL LTDA,1,nao
AVASTIN,AVASTIN,Biológico,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,2,nao
AVAXIM,AVAXIM,Biológico,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
AVIANT,AVIANT,Similar,MERCK SHARP & DOHME FARMACEUTICA LTDA. | ORGANON FARMACEUTICA LTDA.,2,nao
AVICIS,AVICIS,Novo,GALDERMA BRASIL LTDA,1,nao
AVIDE,AVIDE,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,2,nao
AVIV,AVIV,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,6,nao
AVODART,AVODART,Novo,GLAXOSMITHKLINE BRASIL LTDA,3,nao
AVONEX,AVONEX,Biológico,BIOGEN BRASIL PRODUTOS FARMACEUTICOS LTDA,1,nao
AVSOLA,AVSOLA,Biológico,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.,1,nao
AXIFLENNID,AXIFLENNID,Novo,HALEX ISTAR INDUSTRIA FARMACEUTICA SA,1,nao
AXONIUM,AXONIUM,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,9,nao
AYMEE,AYMEE,Similar,LIBBS FARMACÊUTICA LTDA,5,nao
AZANEM,AZANEM,Similar,INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA,1,nao
AZELAN,AZELAN,Novo,LEO PHARMA LTDA,3,nao
AZENPI,AZENPI,Similar,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,3,nao
AZENTEX,AZENTEX,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
AZEUS,AZEUS,Similar,FRESENIUS KABI BRASIL LTDA,1,nao
AZI,AZI,Similar,EMS SIGMA PHARMA LTDA,6,nao
AZICIN,AZICIN,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
AZILECT,AZILECT,Novo,TEVA FARMACÊUTICA LTDA.,2,nao
AZILYS,AZILYS,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,1,nao
AZINOSTIL,AZINOSTIL,Similar,EMS S/A,1,nao
AZITROLAB,AZITROLAB,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,4,nao
AZITROMED,AZITROMED,Similar,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.,1,nao
AZITROPHAR,AZITROPHAR,Similar,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,8,nao
AZLA,AZLA,Similar,LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA,1,nao
AZMID,AZMID,Similar,BLAU FARMACEUTICA S.A.,1,nao
AZOD,AZOD,Similar,SUPERA FARMA LABORATÓRIOS S.A,5,nao
AZOPT,AZOPT,Novo,NOVARTIS BIOCIENCIAS S.A,1,nao
AZORGA,AZORGA,Novo,NOVARTIS BIOCIENCIAS S.A,2,nao
AZOX,AZOX,Similar,EUROFARMA LABORATORIOS S.A.,3,nao
AZUKON MR,AZUKON MR,Similar,TORRENT DO BRASIL LTDA,4,nao
AZULFIN,AZULFIN,Similar,APSEN FARMACEUTICA S/A,2,nao
B.BRAUN SOLUÇÃO DE RINGER Nº3,B BRAUN SOLUCAO DE RINGER NO3,Específico,LABORATORIOS B. BRAUN S/A,1,nao
B -PLATIN,B PLATIN,Similar,BLAU FARMACEUTICA S.A.,4,nao
B-SUPRIN,B SUPRIN,Específico,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,1,nao
B-TABLOCK,B TABLOCK,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
B-VIT,B VIT,Específico,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,2,nao
BABYMED,BABYMED,Específico,CIMED INDUSTRIA S.A,1,nao
BABYMED TRATAMENTO,BABYMED TRATAMENTO,Similar,CIMED INDUSTRIA S.A,1,nao
BABYNEO,BABYNEO,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
BAC-SULFITRIN,BAC SULFITRIN,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
BACFAR,BACFAR,Similar,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA,5,nao
BACIGEN,BACIGEN,Similar,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,1,nao
BACINA,BACINA,Similar,BELFAR LTDA,7,nao
BACINANTRAT,BACINANTRAT,Similar,LABORATORIO GLOBO SA,1,nao
BACLOFEN,BACLOFEN,Similar,LABORATORIO TEUTO BRASILEIRO S/A,2,nao
BACLON,BACLON,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
BACROCIN,BACROCIN,Similar,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.,1,nao
BACTERACIN,BACTERACIN,Similar,LABORATORIO TEUTO BRASILEIRO S/A,3,nao
BACTODERM,BACTODERM,Similar,KLEY HERTZ FARMACEUTICA S.A,2,nao
BACTOMAX,BACTOMAX,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
BACTRIM,BACTRIM,Novo,FARMOQUÍMICA S/A,4,nao
BACTROBAN,BACTROBAN,Novo,GLAXOSMITHKLINE BRASIL LTDA,1,nao
BALEFIO,BALEFIO,Similar,DR. REDDYS FARMACÊUTICA DO BRASIL LTDA,4,nao
BALORTI,BALORTI,Similar,PRATI DONADUZZI & CIA LTDA,2,nao
BALSAMO BENGUE,BALSAMO BENGUE,Específico,EMS S/A,6,nao
BAMIFIX,BAMIFIX,Similar,CHIESI FARMACÊUTICA LTDA,2,nao
BANXA,BANXA,Similar,SANOFI MEDLEY FARMACÊUTICA LTDA.,4,nao
BARIOGEL,BARIOGEL,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
BARITEKAL HIPERBÁRICA,BARITEKAL HIPERBARICA,Novo,LABORATORIOS B. BRAUN S/A,1,nao
BART H,BART H,Similar,EUROFARMA LABORATORIOS S.A.,4,nao
BASAGLAR,BASAGLAR,Biológico,ELI LILLY DO BRASIL LTDA,3,nao
BAVENCIO,BAVENCIO,Biológico,MERCK S/A,1,nao
BAXTER GLICINA,BAXTER GLICINA,Específico,BAXTER HOSPITALAR LTDA,1,nao
BAXTER GLICOSE,BAXTER GLICOSE,Específico,BAXTER HOSPITALAR LTDA,7,nao
BAXTER SOLUÇÃO DE RINGER COM LACTATO,BAXTER SOLUCAO DE RINGER COM LACTATO,Específico,BAXTER HOSPITALAR LTDA,1,nao
BAXTER SORBITOL,BAXTER SORBITOL,Específico,BAXTER HOSPITALAR LTDA,1,nao
BAYCUTEN N,BAYCUTEN N,Novo,BAYER S.A.,1,nao
BDEXBRAUN,BDEXBRAUN,Similar,LABORATORIOS B. BRAUN S/A,3,nao
BEBEX ADE,BEBEX ADE,Específico,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,1,nao
BEBEX N,BEBEX N,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,1,nao
BECA,BECA,Similar,HALEX ISTAR INDUSTRIA FARMACEUTICA SA,1,nao
BECLONATO,BECLONATO,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
BECLOSOL,BECLOSOL,Novo,GLAXOSMITHKLINE BRASIL LTDA,1,nao
BEDFORDPOLY - B,BEDFORDPOLY B,Novo,OPEM REPRESENTAÇÃO IMPORTADORA EXPORTADORA E DISTRIBUIDORA LTDA,2,nao
BEDOZE,BEDOZE,Específico,EUROFARMA LABORATORIOS S.A.,1,nao
BEIZOM,BEIZOM,Similar,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,2,nao
BELADIOL,BELADIOL,Similar,EMS S/A,4,nao
BELARA,BELARA,Novo,GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.,2,nao
BELARINA,BELARINA,Novo,GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.,1,nao
BELCOMPLEX,BELCOMPLEX,Específico,BELFAR LTDA,2,nao
BELCOMPLEX B,BELCOMPLEX B,Específico,BELFAR LTDA,1,nao
BELEODAQ,BELEODAQ,Novo,PINT PHARMA PRODUTOS MEDICO-HOSPITALARES E FARMACEUTICOS LTDA,1,nao
BELFACTRIM,BELFACTRIM,Similar,BELFAR LTDA,3,nao
BELFAREN,BELFAREN,Similar,BELFAR LTDA,2,nao
BELMIRAX,BELMIRAX,Similar,BELFAR LTDA,2,nao
BELPELE,BELPELE,Similar,FARMOQUÍMICA S/A,3,nao
BELSPAN,BELSPAN,Similar,BELFAR LTDA,4,nao
BENALET,BENALET,Novo,JANSSEN-CILAG FARMACEUTICA LTDA | KENVUE LTDA.,7,nao
BENALQ,BENALQ,Similar,TEVA FARMACÊUTICA LTDA.,2,nao
BENATUX,BENATUX,Similar,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,5,nao
BENDY,BENDY,Similar,NATCOFARMA DO BRASIL LTDA,1,nao
BENECTRIN,BENECTRIN,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,5,nao
BENEDESC PLUS,BENEDESC PLUS,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,1,nao
BENEFIX,BENEFIX,Biológico,PFIZER BRASIL LTDA,4,nao
BENEGRIP,BENEGRIP,Novo,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,3,nao
BENEGRIP MULTI,BENEGRIP MULTI,Novo,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,1,nao
BENEGRIP MULTI DIA,BENEGRIP MULTI DIA,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,3,nao
BENEGRIP MULTI FEBRE E DOR,BENEGRIP MULTI FEBRE E DOR,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,1,nao
BENEGRIP MULTI NOITE,BENEGRIP MULTI NOITE,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,3,nao
BENEROC,BENEROC,Específico,BAYER S.A.,1,nao
BENERVA,BENERVA,Específico,CELLERA FARMACEUTICA S.A.,2,nao
BENESTARE,BENESTARE,Similar,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,1,nao
BENEUM,BENEUM,Específico,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
BENEVRAN,BENEVRAN,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,2,nao
BENEVRAN GEL,BENEVRAN GEL,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,1,nao
BENEXPEC,BENEXPEC,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,1,nao
BENFIBE,BENFIBE,Similar,MYRALIS INDUSTRIA FARMACEUTICA LTDA,5,nao
BENGPRO,BENGPRO,Similar,EMS S/A,2,nao
BENICAR,BENICAR,Novo,DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA,4,nao
BENICAR HCT,BENICAR HCT,Novo,DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA,5,nao
BENICAR ODT,BENICAR ODT,Novo,DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA,4,nao
BENICAR TRIPLO,BENICAR TRIPLO,Novo,DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA,6,nao
BENICARANLO,BENICARANLO,Novo,DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA,6,nao
BENLYSTA,BENLYSTA,Biológico,GLAXOSMITHKLINE BRASIL LTDA,4,nao
BENORMAL,BENORMAL,Específico,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,1,nao
BENZETACIL,BENZETACIL,Novo,EUROFARMA LABORATORIOS S.A.,3,nao
BENZEVIT,BENZEVIT,Similar,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA,1,nao
BENZIFLEX,BENZIFLEX,Similar,EMS S/A,16,nao
BENZIFLEX LIS,BENZIFLEX LIS,Similar,EMS S/A,2,nao
BENZODERM,BENZODERM,Similar,PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A,2,nao
BENZOL,BENZOL,Similar,GREENPHARMA QUÍMICA E FARMACÊUTICA LTDA,3,nao
BENZOTOP,BENZOTOP,Similar,DFL INDÚSTRIA E COMÉRCIO S/A,2,nao
BEPANTRIZ,BEPANTRIZ,Específico,CIMED INDUSTRIA S.A,2,nao
BEPEBEN,BEPEBEN,Similar,LABORATORIO TEUTO BRASILEIRO S/A,3,nao
BERGOX,BERGOX,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,4,nao
BERIBUMIN,BERIBUMIN,Biológico,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,1,nao
BERINERT,BERINERT,Biológico,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,4,nao
