numero_controle_pncp,numero_item,tipoBeneficioNome,aplicabilidadeMargemPreferenciaNormal,percentualMargemPreferenciaNormal,aplicabilidadeMargemPreferenciaAdicional,percentualMargemPreferenciaAdicional,tipoMargemPreferencia.codigo,criterioJulgamentoNome,tipoMargemPreferencia.nome,tipoMargemPreferencia,exigenciaConteudoNacional,_merge,srp,_merge_srp
88370879000104-1-002138/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
88370879000104-1-002138/2025,2,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
45781176000166-1-000879/2025,1,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
10476288000129-1-000289/2025,1,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
10476288000129-1-000289/2025,3,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
10476288000129-1-000289/2025,4,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
10476288000129-1-000289/2025,5,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
10476288000129-1-000289/2025,8,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
10476288000129-1-000289/2025,10,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
12998458000160-1-000872/2025,1,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
88768080000170-1-000677/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
88768080000170-1-000677/2025,2,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
88768080000170-1-000677/2025,3,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
88768080000170-1-000677/2025,4,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
88768080000170-1-000677/2025,5,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
88768080000170-1-000677/2025,6,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
88768080000170-1-000677/2025,7,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
88768080000170-1-000677/2025,8,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
88768080000170-1-000677/2025,9,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
88768080000170-1-000677/2025,10,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
09528346000131-1-000045/2025,4,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
09528346000131-1-000045/2025,7,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
09528346000131-1-000045/2025,8,Não se aplica,False,,False,,,Menor preço,,,False,both,False,both
87738530000110-1-001428/2025,1,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
87738530000110-1-001428/2025,3,Não se aplica,False,,False,,,Não se aplica,,,False,both,False,both
21744847000150-1-000638/2025,1,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003514/2025,1,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003514/2025,4,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003514/2025,7,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003514/2025,8,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003515/2025,3,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003515/2025,5,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003515/2025,6,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003515/2025,7,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003515/2025,8,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003515/2025,9,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003515/2025,10,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003516/2025,3,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003516/2025,7,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003516/2025,8,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46523056000121-1-000166/2025,1,Não se aplica,False,,False,,,Menor preço,,,False,both,True,both
46223699000150-1-003517/2025,2,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003517/2025,3,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003517/2025,4,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003517/2025,5,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003517/2025,6,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003517/2025,8,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003517/2025,9,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003517/2025,10,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003518/2025,1,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003518/2025,2,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003518/2025,3,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003518/2025,5,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003518/2025,6,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
46223699000150-1-003518/2025,7,Sem benefício,False,,False,,,Menor preço,,,False,both,False,both
