numero_controle_pncp,numero_item,aplicacao_beneficio_me_epp,incentivo_produtivo_basico,exigencia_conteudo_nacional,aplicabilidade_margem_preferencia_normal,aplicabilidade_margem_preferencia_adicional,tipo_margem_preferencia_codigo,tipo_margem_preferencia_nome,percentual_margem_preferencia_normal,percentual_margem_preferencia_adicional,aplicacao_margem_preferencia,amparo_legal_margem_preferencia_id,amparo_legal_margem_preferencia_nome,amparo_legal_margem_preferencia_descricao,aplicacao_criterio_desempate,amparo_legal_criterio_desempate_id,amparo_legal_criterio_desempate_nome,amparo_legal_criterio_desempate_descricao,percentual_desconto
11892520000172-1-000022/2024,8,,,,,,,,,,,,,,,,,,
87958625000149-1-000115/2024,4,,,,,,,,,,,,,,,,,,
00394502000144-1-008831/2024,1,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
42498600000171-1-004456/2024,3,,,,,,,,,,,,,,,,,,
42498733000148-1-000557/2024,1,,,,,,,,,,,,,,,,,,
33663683000116-1-000581/2024,9,,,,,,,,,,,,,,,,,,
42498600000171-1-001914/2024,2,,,,,,,,,,,,,,,,,,
13937032000160-1-000106/2024,2,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
07954480000179-1-010664/2024,5,,,,,,,,,,,,,,,,,,
07954480000179-1-010462/2024,9,,,,,,,,,,,,,,,,,,
07954480000179-1-010223/2024,8,,,,,,,,,,,,,,,,,,
46177531000155-1-000305/2025,3,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
07954480000179-1-008288/2024,7,,,,,,,,,,,,,,,,,,
03517102000177-1-000093/2024,7602,,,,,,,,,,,,,,,,,,
03517102000177-1-000086/2024,7551,,,,,,,,,,,,,,,,,,
76105568000139-1-000031/2025,1692211,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,60.52
03517102000177-1-000060/2024,7240,,,,,,,,,,,,,,,,,,
03517102000177-1-000057/2024,7204,,,,,,,,,,,,,,,,,,
05532085000172-1-000093/2024,641,,,,,,,,,,,,,,,,,,
11228564000100-1-000055/2024,135873,,,,,,,,,,,,,,,,,,
03517102000177-1-000109/2023,370646,,,,,,,,,,,,,,,,,,
03517102000177-1-000022/2024,6627,,,,,,,,,,,,,,,,,,
11228564000100-1-000018/2024,2319,,,,,,,,,,,,,,,,,,
03517102000177-1-000013/2024,368786,,,,,,,,,,,,,,,,,,
27080605000196-1-000085/2025,1,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
07954480000179-1-009970/2024,5,,,,,,,,,,,,,,,,,,
07954605000160-1-000368/2024,28057,,,,,,,,,,,,,,,,,,
07954605000160-1-000368/2024,28058,,,,,,,,,,,,,,,,,,
07954605000160-1-000337/2024,5,,,,,,,,,,,,,,,,,,
07954480000179-1-008641/2024,1,,,,,,,,,,,,,,,,,,
07954605000160-1-000307/2024,27516,,,,,,,,,,,,,,,,,,
07954480000179-1-008157/2024,2,,,,,,,,,,,,,,,,,,
07954605000160-1-000225/2024,6,,,,,,,,,,,,,,,,,,
07954605000160-1-000225/2024,7,,,,,,,,,,,,,,,,,,
82951351000142-1-000108/2024,8,,,,,,,,,,,,,,,,,,
80673411000187-1-000581/2023,8,,,,,,,,,,,,,,,,,,
46374500000194-1-001547/2024,3,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
46374500000194-1-001339/2024,1,,,,,,,,,,,,,,,,,,
46374500000194-1-001313/2024,2,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
46374500000194-1-001293/2024,1,,,,,,,,,,,,,,,,,,
46374500000194-1-001196/2024,6,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
46374500000194-1-000997/2024,1,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
46374500000194-1-000977/2024,1,,,,,,,,,,,,,,,,,,
46374500000194-1-000586/2024,7,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
46374500000194-1-000555/2024,3,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
46374500000194-1-000463/2024,3,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,,,,FALSE,,,,0
