"endpoint","numeroItem","codigo_pdm","descricao","unidadeMedida"
"https://pncp.gov.br/api/pncp/v1/orgaos/10373148000125/compras/2023/2/itens",9,"2411","ANLODIPINO, BESILATO, 10MG COMPRIMIDOS - EMBALADOS EM BLISTER, CONTENDO DADOS DE IDENTIFICAÇÃO, Nº DO LOTE, MÊS E ANO DE FABRICAÇÃO E VALIDADE.","Comprimidos"
"https://pncp.gov.br/api/pncp/v1/orgaos/63762041000135/compras/2024/20/itens",4138224,"9907","MORFINA, SULFATO, 0,2 MG/Ml, SOLUÇÃO INJETÁVEL, AMPOLA COM 1 Ml.PARA USO PERIDURAL, INTRATECAL, ENDOVENOSO E INTRAMUSCULAR. SEM CONSERVANTES, ESTÉRIL E EMBALADA INDIVIDUALMENTE. (CRON2268)","AMPOLA"
"https://pncp.gov.br/api/pncp/v1/orgaos/18301069000110/compras/2024/8/itens",4,"2259","ÁLCOOL GEL 500ml - Álcool em gel, 65° INPM, (70ºGL), uso doméstico, transparente, sem aroma , composição álcool etílico hidratado 65° INPM, neutralizante, espessante, desnaturante e água deionizada, embalagem de 500 ml contendo todos os dados do produto e do fabricante","UN"
"https://pncp.gov.br/api/pncp/v1/orgaos/46523015000135/compras/2023/154/itens",7,"5077","CLINDAMICINA 300MG, CLORIDRATO","CAPS"
"https://pncp.gov.br/api/pncp/v1/orgaos/07954605000160/compras/2024/222/itens",26771,"7878","FUROSEMIDA 10MG/ML, SOLUÇÃO INJETÁVEL, AMPOLA 2ML. ()","AMPOLA (AMP)"
"https://pncp.gov.br/api/pncp/v1/orgaos/27142058000126/compras/2023/326/itens",5,"6006","MIKANIA GLOMERATA, Nome Popular: Guaco, Concentração de Cumarina [mg/ml]: 0,035 a 0,085, Forma farmacêutica: Xarope, Embalagem: Frasco, Conteúdo [ml]: 100, Detalhe: Com dosador graduado","Frasco"
"https://pncp.gov.br/api/pncp/v1/orgaos/87613519000123/compras/2023/50/itens",5,"363","ACICLOVIR 50MG/G CREME DERMATOLOGICO, BISNAGA 10G, EMBALAGEM INDIVIDUAL EM CARTUCHO OU COM NO MÁXIMO 100 BISNAGAS, EM EMBALAGEM PRIMÁRIA E SECUNDÁRIA, DE ACORDO COM A PUBLICAÇÃO DO REGISTRO NO MINISTÉRIO DA SAÚDE.","TB"
"https://pncp.gov.br/api/pncp/v1/orgaos/08940702000167/compras/2023/7/itens",9,"5086","CLOMIPRAMINA 75MG COMPRIMIDO","Comprimido"
"https://pncp.gov.br/api/pncp/v1/orgaos/05489935000105/compras/2024/14/itens",7,"2259","ÁLCOOL ETÍLICO HIDRATADO ESPECIFICAÇÃO: ÁLCOOL, TIPO ETILICO HIDRATADO, APLICAÇÃO LIMPEZA EM GERAL, TEOR ALCOÓLICA 96° INPM, ACONDICIOANADAS EM EMBALAGENS DE PAPELÃO IDENTIFICADAS de 1 Litro. COM MARCA DO FABRICANTE.","Unidade"
"https://pncp.gov.br/api/pncp/v1/orgaos/01921228000187/compras/2021/7/itens",2,"2562","APLICAÇÃO DE TRIANCINOLONA -  Para realização desse procedimento deverá: * o médico/ cirurgião trazer a medicação do procedimento a ser realizado; e realizar no mínimo a quantidade de 12 procedimentos no mesmo dia.","UN"
